http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004726.pub2/full | Public health|Education of children and adolescents for the prevention of dog bite injuries|Olivier Duperrex, Karen Blackhall, Mafalda Burri, Emilien Jeannot|2009-04-15
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004333.pub3/full | Public health|Helmets for preventing injury in motorcycle riders|Bette C Liu, Rebecca Ivers, Robyn Norton, Soufiane Boufous, Stephanie Blows, Sing Kai Lo|2008-01-23
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004168.pub2/full | Public health|Alcohol ignition interlock programmes for reducing drink driving recidivism|Charlene Willis, Sean Lybrand, Nicholas Bellamy|2004-07-19
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012439.pub2/full | Public health|Strategies to improve the implementation of workplace‐based policies or practices targeting tobacco, alcohol, diet, physical activity and obesity|Luke Wolfenden, Sharni Goldman, Fiona G Stacey, Alice Grady, Melanie Kingsland, Christopher M Williams, John Wiggers, Andrew Milat, Chris Rissel, Adrian Bauman, Margaret M Farrell, France Légaré, Ali Ben Charif, Hervé Tchala Vignon Zomahoun, Rebecca K Hodder, Jannah Jones, Debbie Booth, Benjamin Parmenter, Tim Regan, Sze Lin Yoong|2018-11-14
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006527.pub3/full | Public health|Educational interventions for the prevention of eye injuries|Anupa Shah, Karen Blackhall, Katharine Ker, Daksha Patel|2009-10-07
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003049.pub2/full | Public health|Community animal health services for improving household wealth and health status of low income farmers|Marina Martin Curran, Harriet MacLehose|2006-04-19
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010166.pub2/full | Public health|Population‐level interventions in government jurisdictions for dietary sodium reduction|Lindsay McLaren, Nureen Sumar, Amanda M Barberio, Kathy Trieu, Diane L Lorenzetti, Valerie Tarasuk, Jacqui Webster, Norman RC Campbell|2016-09-16
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004445.pub3/full | Public health|The 'WHO Safe Communities' model for the prevention of injury in whole populations|Anneliese Spinks, Cathy Turner, Jim Nixon, Roderick J McClure|2009-07-08
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011677.pub2/full | Public health|Strategies for enhancing the implementation of school‐based policies or practices targeting risk factors for chronic disease|Luke Wolfenden, Nicole K Nathan, Rachel Sutherland, Sze Lin Yoong, Rebecca K Hodder, Rebecca J Wyse, Tessa Delaney, Alice Grady, Alison Fielding, Flora Tzelepis, Tara Clinton‐McHarg, Benjamin Parmenter, Peter Butler, John Wiggers, Adrian Bauman, Andrew Milat, Debbie Booth, Christopher M Williams|2017-11-29
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004441.pub2/full | Public health|Population‐based interventions for the prevention of fall‐related injuries in older people|Roderick J McClure, Cathy Turner, Nancye Peel, Anneliese Spinks, Elizabeth Eakin, Karen Hughes|2005-01-24
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003110/full | Public health|Area‐wide traffic calming for preventing traffic related injuries|Frances Bunn, Timothy Collier, Chris Frost, Katharine Ker, Rebecca Steinbach, Ian Roberts, Reinhard Wentz|2003-01-20
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD002246/full | Public health|Interventions for promoting smoke alarm ownership and function|Carolyn DiGuiseppi, Cynthia W Goss, Julian PT Higgins|2001-04-23
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004334.pub2/full | Public health|Interventions for promoting booster seat use in four to eight year olds travelling in motor vehicles|John E Ehiri, Henry OD Ejere, Lesley Magnussen, Donath Emusu, William King, Scott J Osberg|2006-01-25
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004335.pub2/full | Public health|Community‐based interventions for the prevention of burns and scalds in children|Cathy Turner, Anneliese Spinks, Roderick J McClure, Jim Nixon|2004-04-19
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004606.pub2/full | Public health|School‐based secondary prevention programmes for preventing violence|Julie A Mytton, Carolyn DiGuiseppi, David Gough, Rod S Taylor, Stuart Logan|2006-07-19
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003734/full | Public health|Post‐licence driver education for the prevention of road traffic crashes|Katharine Ker, Ian G Roberts, Timothy Collier, Fiona R Beyer, Frances Bunn, Chris Frost|2003-07-21
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003862.pub2/full | Public health|Red‐light cameras for the prevention of road traffic crashes|Amy Aeron‐Thomas, Stephane Hess|2005-04-20
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003438.pub2/full | Public health|Interventions for increasing pedestrian and cyclist visibility for the prevention of death and injuries|Irene Kwan, James Mapstone|2006-10-18
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003985.pub3/full | Public health|Non‐legislative interventions for the promotion of cycle helmet wearing by children|Rachel Owen, Denise Kendrick, Caroline Mulvaney, Tim Coleman, Simon Royal|2011-11-09
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011045.pub2/full | Public health|Portion, package or tableware size for changing selection and consumption of food, alcohol and tobacco|Gareth J Hollands, Ian Shemilt, Theresa M Marteau, Susan A Jebb, Hannah B Lewis, Yinghui Wei, Julian P T Higgins, David Ogilvie|2015-09-14
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008009.pub2/full | Public health|Flexible working conditions and their effects on employee health and wellbeing|Kerry Joyce, Roman Pabayo, Julia A Critchley, Clare Bambra|2010-02-17
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009467.pub2/full | Public health|Later school start times for supporting the education, health, and well‐being of high school students|Robert Marx, Emily E Tanner‐Smith, Colleen M Davison, Lee‐Anne Ufholz, John Freeman, Ravi Shankar, Lisa Newton, Robert S Brown, Alyssa S Parpia, Ioana Cozma, Shawn Hendrikx|2017-07-03
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009820.pub3/full | Public health|Welfare‐to‐work interventions and their effects on the mental and physical health of lone parents and their children|Marcia Gibson, Hilary Thomson, Kasia Banas, Vittoria Lutje, Martin J McKee, Susan P Martin, Candida Fenton, Clare Bambra, Lyndal Bond|2018-02-26
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006422.pub3/full | Public health|Psychosocial interventions for the prevention of disability following traumatic physical injury|Mary De Silva, Malcolm MacLachlan, Declan Devane, Deirdre Desmond, Pamela Gallagher, Ulrich Schnyder, Muireann Brennan, Vikram Patel|2009-10-07
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003201/full | Public health|School‐based driver education for the prevention of traffic crashes|Ian G Roberts, Irene Kwan|2001-07-23
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003300.pub3/full | Public health|Graduated driver licensing for reducing motor vehicle crashes among young drivers|Kelly F Russell, Ben Vandermeer, Lisa Hartling|2011-10-05
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003600.pub3/full | Public health|Modification of the home environment for the reduction of injuries|Samantha Turner, Geri Arthur, Ronan A Lyons, Alison L Weightman, Mala K Mann, Sarah J Jones, Ann John, Simon Lannon|2011-02-16
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009823.pub3/full | Public health|Interventions for promoting reintegration and reducing harmful behaviour and lifestyles in street‐connected children and young people|Esther Coren, Rosa Hossain, Jordi Pardo Pardo, Brittany Bakker|2016-01-13
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010734.pub2/full | Public health|Iodine fortification of foods and condiments, other than salt, for preventing iodine deficiency disorders|Joseph Alvin R Santos, Anthea Christoforou, Kathy Trieu, Briar L McKenzie, Shauna Downs, Laurent Billot, Jacqui Webster, Mu Li|2019-02-12
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010321.pub2/full | Public health|Interventions for preventing abuse in the elderly|Philip RA Baker, Daniel P Francis, Noran N Hairi, Sajaratulnisah Othman, Wan Yuen Choo|2016-08-16
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012150.pub2/full | Public health|Fortification of wheat and maize flour with folic acid for population health outcomes|Elizabeth Centeno Tablante, Helena Pachón, Heather M Guetterman, Julia L Finkelstein|2019-07-01
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011779.pub2/full | Public health|Strategies to improve the implementation of healthy eating, physical activity and obesity prevention policies, practices or programmes within childcare services|Luke Wolfenden, Jannah Jones, Christopher M Williams, Meghan Finch, Rebecca J Wyse, Melanie Kingsland, Flora Tzelepis, John Wiggers, Amanda J Williams, Kirsty Seward, Tameka Small, Vivian Welch, Debbie Booth, Sze Lin Yoong|2016-10-04
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008931.pub3/full | Public health|Interventions designed to prevent healthcare bed‐related injuries in patients|Oliver Anderson, Piers R Boshier, George B Hanna|2012-01-18
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006398.pub2/full | Public health|Interventions for preventing injuries in the agricultural industry|Risto Rautiainen, Marika M Lehtola, Lesley Margaret Day, Eva Schonstein, Juha Suutarinen, Simo Salminen, Jos H Verbeek|2008-01-23
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006345.pub3/full | Public health|Non‐pharmacological interventions for preventing venous insufficiency in a standing worker population|Lindsay Robertson, Su Ern Yeoh, Dinanda N Kolbach|2013-10-15
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD005014.pub3/full | Public health|Home safety education and provision of safety equipment for injury prevention|Denise Kendrick, Ben Young, Amanda J Mason‐Jones, Nohaid Ilyas, Felix A Achana, Nicola J Cooper, Stephanie J Hubbard, Alex J Sutton, Sherie Smith, Persephone Wynn, Caroline A Mulvaney, Michael C Watson, Carol Coupland|2012-09-12
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008160.pub2/full | Public health|Workplace interventions for neck pain in workers|Randi Wågø Aas, Hanne Tuntland, Kari Anne Holte, Cecilie Røe, Thomas Lund, Staffan Marklund, Anders Moller|2011-04-13
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD001047/full | Public health|Pool fencing for preventing drowning of children|Diane C Thompson, Fred Rivara|1998-01-26
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD001531/full | Public health|Safety education of pedestrians for injury prevention|Olivier Duperrex, Ian Roberts, Frances Bunn|2002-04-22
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD001855/full | Public health|Helmets for preventing head and facial injuries in bicyclists|Diane C Thompson, Fred Rivara, Robert Thompson|1999-10-25
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD001857.pub2/full | Public health|Interventions for preventing injuries in problem drinkers|Tho Bella Dinh‐Zarr, Cynthia W Goss, Elizabeth Heitman, Ian G Roberts, Carolyn DiGuiseppi|2004-07-19
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009009.pub3/full | Public health|General health checks in adults for reducing morbidity and mortality from disease|Lasse T Krogsbøll, Karsten Juhl Jørgensen, Peter C Gøtzsche|2019-01-31
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010697.pub2/full | Public health|Fortification of staple foods with zinc for improving zinc status and other health outcomes in the general population|Dheeraj Shah, Harshpal S Sachdev, Tarun Gera, Luz Maria De‐Regil, Juan Pablo Peña‐Rosas|2016-06-09
